วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
13/03/2569,RC-260313,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1200.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 1
14/03/2569,PV-260314,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1241.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 2
15/03/2569,JV-260315,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1282.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 3
16/03/2569,JR-260316,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1323.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 4
17/03/2569,RC-260317,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1364.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 5
18/03/2569,PV-260318,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1405.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 6
19/03/2569,JV-260319,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1446.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 7
20/03/2569,JR-260320,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1487.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 8
21/03/2569,RC-260321,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1528.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 9
22/03/2569,PV-260322,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1569.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 10
23/03/2569,JV-260323,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1610.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 11
24/03/2569,JR-260324,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1651.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 12
25/03/2569,RC-260325,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1692.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 13
26/03/2569,PV-260326,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1733.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 14
27/03/2569,JV-260327,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1774.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 15
28/03/2569,JR-260328,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1815.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 16
29/03/2569,RC-260329,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1856.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 17
30/03/2569,PV-260330,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1897.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 18
31/03/2569,JV-260331,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1938.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 19
01/04/2569,JR-260332,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1979.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 20
02/04/2569,RC-260333,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2020.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 21
03/04/2569,PV-260334,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2061.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 22
04/04/2569,JV-260335,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2102.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 23
05/04/2569,JR-260336,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2143.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 24
06/04/2569,RC-260337,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2184.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 25
07/04/2569,PV-260338,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2225.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 26
08/04/2569,JV-260339,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2266.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 27
09/04/2569,JR-260340,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2307.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 28
10/04/2569,RC-260341,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2348.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 29
11/04/2569,PV-260342,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2389.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 30
12/04/2569,JV-260343,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2430.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 31
13/04/2569,JR-260344,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2471.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 32
14/04/2569,RC-260345,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2512.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 33
15/04/2569,PV-260346,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2553.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 34
16/04/2569,JV-260347,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2594.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 35
17/04/2569,JR-260348,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2635.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 36
18/04/2569,RC-260349,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2676.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 37
19/04/2569,PV-260350,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2717.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 38
20/04/2569,JV-260351,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2758.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 39
21/04/2569,JR-260352,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2799.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 40
22/04/2569,RC-260353,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2840.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 41
23/04/2569,PV-260354,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2881.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 42
24/04/2569,JV-260355,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2922.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 43
25/04/2569,JR-260356,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2963.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 44
26/04/2569,RC-260357,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3004.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 45
27/04/2569,PV-260358,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,3045.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 46
28/04/2569,JV-260359,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,3086.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 47
29/04/2569,JR-260360,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,3127.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 48
30/04/2569,RC-260361,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,3168.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 49
