วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
21/02/2569,RC-260221,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1000.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 1
22/02/2569,PV-260222,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1037.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 2
23/02/2569,JV-260223,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1074.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 3
24/02/2569,JR-260224,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1111.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 4
25/02/2569,RC-260225,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1148.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 5
26/02/2569,PV-260226,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1185.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 6
27/02/2569,JV-260227,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1222.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 7
28/02/2569,JR-260228,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1259.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 8
01/03/2569,RC-260229,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1296.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 9
02/03/2569,PV-260230,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1333.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 10
03/03/2569,JV-260231,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1370.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 11
04/03/2569,JR-260232,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1407.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 12
05/03/2569,RC-260233,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1444.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 13
06/03/2569,PV-260234,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1481.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 14
07/03/2569,JV-260235,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1518.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 15
08/03/2569,JR-260236,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1555.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 16
09/03/2569,RC-260237,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1592.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 17
10/03/2569,PV-260238,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1629.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 18
11/03/2569,JV-260239,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1666.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 19
12/03/2569,JR-260240,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1703.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 20
13/03/2569,RC-260241,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1740.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 21
14/03/2569,PV-260242,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1777.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 22
15/03/2569,JV-260243,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1814.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 23
16/03/2569,JR-260244,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1851.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 24
17/03/2569,RC-260245,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1888.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 25
18/03/2569,PV-260246,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1925.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 26
19/03/2569,JV-260247,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1962.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 27
20/03/2569,JR-260248,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1999.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 28
21/03/2569,RC-260249,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2036.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 29
22/03/2569,PV-260250,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2073.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 30
23/03/2569,JV-260251,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2110.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 31
24/03/2569,JR-260252,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2147.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 32
25/03/2569,RC-260253,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2184.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 33
